player_id,name,team,uses,exposure_pct
ss1,SS A,LAD,52,0.6265060240963856
of2,OF B,NYM,52,0.6265060240963856
of1,OF A,LAD,52,0.6265060240963856
c1,C1B A,ATL,52,0.6265060240963856
of4,OF D,ATL,52,0.6265060240963856
of5,OF E,LAD,50,0.6024096385542169
b3a,3B A,ATL,50,0.6024096385542169
b3b,3B B,LAD,49,0.5903614457831325
c2,C1B B,NYM,48,0.5783132530120482
b2a,2B A,ATL,48,0.5783132530120482
of3,OF C,ATL,46,0.5542168674698795
p1,Pitcher A,NYM,45,0.5421686746987951
ss2,SS B,NYM,45,0.5421686746987951
b2b,2B B,NYM,42,0.5060240963855421
p2,Pitcher B,ATL,38,0.4578313253012048
ut1,UTIL A,LAD,20,0.24096385542168675
ut3,UTIL C,ATL,4,0.04819277108433735
ut2,UTIL B,NYM,2,0.024096385542168676
